"GRP","x","Y"
1,0.5,6.62482751834004
1,3.9,4.27586326610332
1,1.2,8.5644928036681
1,3.5,6.78754296151614
1,2.2,10.0019382043882
1,2.4,8.92827139978822
1,2.4,7.36166247516392
1,0.7,8.00197984458221
1,1.4,9.11467675431107
1,4.5,5.53831278332055
1,7.8,2.33057636334324
1,3,7.49682529774519
1,2.4,8.33188224609844
1,1.1,6.049803210535
1,-0.1,10.5845269617194
1,3.8,4.57006258226017
1,5.5,4.26834935568609
1,5.7,2.41870167476278
1,2.3,7.67790904306867
1,5.5,5.2174577919427
2,6.4,6.07277123005883
2,9.5,1.05219945198013
2,6.1,8.55475299470829
2,9,7.23648658713249
2,9.3,6.2002826457083
2,8.5,6.39024505257684
2,5.7,7.70932176548926
2,6.1,13.7827292577892
2,5.9,8.34659456283274
2,6.5,9.03227472334421
2,7.1,7.44534261715049
2,4.4,12.2640942571448
2,5.6,11.7130739943004
2,9.2,2.67243589785799
2,8,4.86881883922341
2,6.9,5.76685890583059
2,8.6,4.73591340776434
2,7.3,6.79443205489368
2,7.8,8.32149218177611
2,6.6,11.9158061796214
