"TRM","x","Y"
1,4.4,2.72482751834004
1,7.5,0.675863266103324
1,4.1,5.6644928036681
1,7,3.28754296151614
1,7.3,4.90193820438817
1,6.5,4.82827139978822
1,3.7,6.06166247516392
1,4.1,4.60197984458221
1,3.9,6.61467675431107
1,4.5,5.53831278332055
1,5.1,5.03057636334324
1,2.4,8.09682529774519
1,3.6,7.13188224609844
1,7.2,-0.0501967894649997
1,6,4.48452696171937
1,4.9,3.47006258226016
1,6.6,3.16834935568609
1,5.3,2.81870167476278
1,5.8,4.17790904306867
1,4.6,6.1174577919427
2,2.5,9.97277123005883
2,5.9,4.65219945198012
2,3.2,11.4547529947083
2,5.5,10.7364865871325
2,4.2,11.3002826457083
2,4.4,10.4902450525768
2,4.4,9.00932176548926
2,2.7,17.1827292577892
2,3.4,10.8465945628327
2,6.5,9.03227472334421
2,9.8,4.74534261715049
2,5,11.6640942571448
2,4.4,12.9130739943004
2,3.1,8.77243589785799
2,1.9,10.9688188392234
2,5.8,6.86685890583059
2,7.5,5.83591340776434
2,7.7,6.39443205489368
2,4.3,11.8214921817761
2,7.5,11.0158061796214
